ISIN;Country;Year;PRETAX_INCOME;MARKET_VALUE;BOOK_VALUE_EQUITY;ASSETS;CASH_TAX_PAID;INCOME_TAX;NET_INCOME;ROA;TAX_RATE;m1;m2;m3;m4;m5;m6;m7;m8
FR0000130809;FR;2019;597567;27583.23;7130905;152266556;#N/B;141473;253600;19;23.67484548;;;;;;;;
FR0000045072;FR;2019;626779;39888.48;6486478;198417917;1189.76;51038;429500;25;8.142857143;;;;;;;;
FR0000130809;FR;2017;569156;38834.79;6100904;153117363;#N/B;192651;234000;18;33.84859294;;;;;;;;
FR0000045072;FR;2017;586639;45237.59;6371084;186157974;1438.12;195358;317500;21;33.30128821;;;;;;;;
FR0000120644;FR;2018;282432;45513.12;1868364;5050094;655.94;84470;233500;528;29.90810359;;;;;;;;
FR0000120644;FR;2019;321001;53825.65;1935302;5091884;866.30;88756;191500;428;27.64993026;;;;;;;;
FR0000120644;FR;2017;371316;53119.33;1735876;5314620;1258.77;94972;244700;555;25.57715674;;;;;;;;
FR0000133308;FR;2020;479815;31666.30;3518196;13571249;3437.02;-96670;456700;413;-20.1473034;2019;2018;2017;2016;2015;2014;2013;2012
FR0000133308;FR;2016;224116;40499.86;2624745;10152074;3100.67;107301;49900;53;47.87759131;;;;;;;;
FR0000120693;FR;2020;67658;41003.28;1568816;3540730;524.02;28522;33200;106;42.15686275;2019;2018;2017;2016;2015;2014;2013;2012
FR0000120693;FR;2016;184482;29405.78;1481674;3399285;435.97;45261;123500;405;24.53397474;;;;;;;;
FR0000073272;FR;2020;42521;60566.93;1510962;4836815;163.02;3990;35200;86;9.383378016;2019;2018;2017;2016;2015;2014;2013;2012
FR0000073272;FR;2016;227987;29962.68;687802;3275842;323.01;28651;183600;616;12.56671519;;;;;;;;
FR0000121485;FR;2018;414576;59417.01;1132393;2442626;663.02;102367;263060;1121;24.69195527;;;;;;;;
FR0000125338;FR;2018;138149;16549.86;855076;1885969;241.85;52735;73000;450;38.17250213;;;;;;;;
FR0000051807;FR;2018;51319;9185.56;253436;673087;200.56;14393;31200;601;28.04597701;;;;;;;;
FR0010220475;FR;2018;19282;10005.22;415207;1629098;108.68;6895;31300;227;35.75757576;;;;;;;;
FR0000121485;FR;2019;481310;82122.64;1153717;3047385;3249.74;238814;216690;893;49.61746855;;;;;;;;
FR0000125338;FR;2019;151546;20662.12;945594;2035654;242.88;56186;85600;494;37.07533235;;;;;;;;
FR0000051807;FR;2019;59432;14326.85;288258;773402;173.48;14662;40000;626;24.67043315;;;;;;;;
FR0010220475;FR;2019;37037;9695.10;459358;1505742;121.53;8102;43300;325;21.875;;;;;;;;
FR0000121485;FR;2017;260136;59593.03;1434740;3071334;356.43;62127;172870;695;23.88240905;;;;;;;;
FR0000125338;FR;2017;125314;19924.54;835276;1914555;156.78;34176;82000;506;27.27272727;;;;;;;;
FR0000051807;FR;2017;34402;8284.06;229353;539159;165.81;-1015;31200;658;-2.950819672;;;;;;;;
FR0010220475;FR;2017;25337;6583.32;391562;1535981;95.42;8336;22300;159;32.9004329;;;;;;;;
FR0000127771;FR;2018;45420;30844.93;1979136;3902028;309.09;42117;12700;37;92.72727273;;;;;;;;
FR0000127771;FR;2019;157366;33926.71;1723374;4192088;316.75;-15669;158300;443;-9.957325747;;;;;;;;
FR0000127771;FR;2017;84370;33831.48;2118691;4123427;-531.26;-40042;121600;365;-47.45989305;;;;;;;;
FR0000120172;FR;2018;65004;13291.12;1048154;5416016;592.23;62409;-18800;-39;96.00725953;;;;;;;;
FR0000120172;FR;2019;80250;13388.32;1115428;5776834;558.51;56298;2900;6;70.15341702;;;;;;;;
FR0000120172;FR;2017;59668;16527.53;1207885;5741385;663.23;69706;-25400;-52;116.8241966;;;;;;;;
FR0000051807;FR;2020;53237;19490.45;294753;859421;204.06;16302;32400;466;30.62098501;2019;2018;2017;2016;2015;2014;2013;2012
FR0000051807;FR;2016;33186;5806.50;201563;526848;91.81;9181;21400;529;27.66666667;;;;;;;;
FR0000133308;FR;2018;408665;42926.41;2842557;11229162;3191.22;154429;166100;170;37.7886836;;;;;;;;
FR0000133308;FR;2019;521682;39031.70;2909744;12360184;3377.89;161955;273600;263;31.04484016;;;;;;;;
FR0000133308;FR;2017;344810;46227.33;3022654;11676579;2839.01;118659;154700;160;34.41282303;;;;;;;;
FR0000125486;FR;2020;223093;55952.13;2552692;11154493;1201.53;92110;124200;136;41.28768523;2019;2018;2017;2016;2015;2014;2013;2012
FR0000125486;FR;2016;383519;37848.57;1736646;7285685;1341.82;112058;250500;379;29.21834439;;;;;;;;
FR0000127771;FR;2020;32147;35273.54;1928192;4664417;-133.38;18582;19900;53;57.80141844;2019;2018;2017;2016;2015;2014;2013;2012
FR0000127771;FR;2016;128651;23984.81;2044422;3413698;299.78;8518;123600;367;6.620808255;;;;;;;;
NL00150001Q9;IT;2018;456917;28408.57;2823809;11074037;#N/B;91785;332300;344;20.08778725;;;;;;;;
NL0011585146;IT;2018;94413;18642.21;154179;554626;103.52;1925;78468;1745;2.038913929;;;;;;;;
NL00150001Q9;IT;2019;426658;29271.91;3203278;11005438;#N/B;147853;269400;276;34.65372508;;;;;;;;
NL0011585146;IT;2019;97581;30760.32;166275;611355;37.47;19772;69582;1351;20.26238699;;;;;;;;
NL00150001Q9;IT;2017;618108;34895.32;2499945;11563583;#N/B;291909;328100;327;47.22627737;;;;;;;;
NL0011585146;IT;2017;83887;19842.04;93504;497264;243.05;23547;53539;1340;28.06974139;;;;;;;;
IT0000062072;IT;2020;381777;27388.60;3674198;66801423;1557.21;133947;192700;36;35.08510003;2019;2018;2017;2016;2015;2014;2013;2012
IT0000062072;IT;2016;334846;23226.83;2588884;55300330;796.46;101328;204100;40;30.26098447;;;;;;;;
NL0010545661;IT;2020;-50500;17384.21;490700;4871900;159.00;-5000;-49300;-103;#N/B;2019;2018;2017;2016;2015;2014;2013;2012
NL0010545661;IT;2016;-900;11832.57;444400;4554700;104.00;29800;-25200;-55;#N/B;;;;;;;;
NL0011585146;IT;2020;75511;42644.01;218426;766193;103.80;6630;60782;1038;8.779597456;2019;2018;2017;2016;2015;2014;2013;2012
NL0011585146;IT;2016;62659;11019.47;34279;406037;278.79;18544;39876;1032;29.59469384;;;;;;;;
IT0000072618;IT;2020;502501;45371.84;8059646;122674832;421.79;164840;414800;46;32.80399274;2019;2018;2017;2016;2015;2014;2013;2012
IT0000072618;IT;2016;341926;42946.50;5158888;76479920;-203.54;110952;212400;30;32.44904562;;;;;;;;
NL0000226223;IT;2018;124300;12820.81;635900;1086700;60.00;-4200;109091;1242;-3.378921963;;;;;;;;
NL0000226223;IT;2019;106200;23985.22;704300;1186800;130.00;3000;92205;918;2.824858757;;;;;;;;
NL0000226223;IT;2017;83100;19599.97;540400;968100;52.00;1900;71103;909;2.286401925;;;;;;;;
IT0000072618;IT;2018;614650;38790.70;6175753;90056212;-1048.80;160800;400200;51;26.16122841;;;;;;;;
IT0000062072;IT;2018;389317;26117.42;2697948;58852676;1300.08;132840;213600;41;34.12121212;;;;;;;;
IT0005239360;IT;2018;446889;25223.97;6446108;95129740;881.27;-61701;388800;47;-13.80675818;;;;;;;;
IT0000072618;IT;2019;628906;46089.45;6282408;91607445;179.08;175050;411800;51;27.83413419;;;;;;;;
IT0000062072;IT;2019;391625;32406.90;3183410;57856790;1381.15;125580;219500;43;32.06630466;;;;;;;;
IT0005239360;IT;2019;302757;32640.62;6893946;96046371;-768.92;96479;191700;23;31.86691312;;;;;;;;
IT0000072618;IT;2017;752107;55821.05;6749096;95687064;295.52;52336;731600;96;6.958608278;;;;;;;;
IT0000062072;IT;2017;382821;28500.71;3011486;64718074;1244.11;129374;217900;41;33.79493223;;;;;;;;
IT0005239360;IT;2017;352289;41644.02;7124420;100481705;-309.15;67187;275935;33;19.07147344;;;;;;;;
NL0010545661;IT;2018;146600;12468.79;504300;4610000;355.00;41700;106800;226;28.44474761;;;;;;;;
NL0010545661;IT;2019;117000;14851.45;608100;4735200;208.00;-27100;142200;304;-23.16239316;;;;;;;;
NL0010545661;IT;2017;65900;18272.14;422400;4829800;224.00;45700;27200;58;69.34749621;;;;;;;;
NL00150001Q9;IT;2020;332417;35720.14;2605305;9211496;#N/B;57455;248800;287;17.28395062;2019;2018;2017;2016;2015;2014;2013;2012
NL00150001Q9;IT;2016;308629;17702.19;2021745;11005578;#N/B;142921;180300;172;46.30824373;;;;;;;;
NL0000226223;IT;2020;113400;33544.80;844800;1445400;138.00;2800;97020;867;2.469135802;2019;2018;2017;2016;2015;2014;2013;2012
NL0000226223;IT;2016;9500;10039.90;453500;800400;42.00;-6800;14916;197;-71.57894737;;;;;;;;
IT0005239360;IT;2020;-137709;20935.60;7280979;113968295;-134.52;36707;-295600;-33;#N/B;2019;2018;2017;2016;2015;2014;2013;2012
IT0005239360;IT;2016;-1254656;17822.03;4148917;90659216;-571.57;78713;-1113143;-129;#N/B;;;;;;;;
JP3122400009;JP;2020;53873;7976.65;214397;329560;105.86;4637;5353200;1621;8.607914774;2019;2018;2017;2016;2015;2014;2013;2012
JP3122400009;JP;2016;9799;1616.89;83295;187242;33.54;4225;669400;302;43.11209314;;;;;;;;
JP3119600009;JP;2020;44879;10209.20;499259;1253871;194.54;18748;1864300;136;41.77477201;2019;2018;2017;2016;2015;2014;2013;2012
JP3119600009;JP;2016;82257;13128.23;542271;1133407;182.76;17184;6850400;542;20.89027921;;;;;;;;
JP3814800003;JP;2018;268279;25139.21;1460126;2695321;733.04;68212;22035400;783;25.42577521;;;;;;;;
JP3830800003;JP;2018;387321;29026.74;2171047;3500223;1301.26;115912;29164200;748;29.92673599;;;;;;;;
JP3633400001;JP;2018;2364316;186744.03;18079880;47304409;4513.25;455107;249398300;504;19.24898557;;;;;;;;
JP3854600008;JP;2018;1005999;61198.83;7459837;18193851;2260.67;-12330;105933700;553;-1.225679904;;;;;;;;
JP3551500006;JP;2018;405931;42670.30;3383470;5420231;631.85;96054;32056100;587;23.66265617;;;;;;;;
JP3397200001;JP;2018;346499;23800.23;1220181;3141352;1014.03;97979;21573000;668;28.27699703;;;;;;;;
JP3814800003;JP;2019;167750;17474.41;1519852;2873558;904.42;40793;14141800;468;24.31756851;;;;;;;;
JP3830800003;JP;2019;307777;26367.65;2161839;3935602;730.10;81844;24011200;592;26.59205389;;;;;;;;
JP3633400001;JP;2019;2060933;166002.93;17930367;46923208;7544.27;595109;188287300;368;28.87569926;;;;;;;;
JP3854600008;JP;2019;883158;47611.57;7469594;18447959;2376.75;273313;61031600;307;30.94718571;;;;;;;;
JP3551500006;JP;2019;321053;30222.06;3248583;5233242;1134.27;68914;25452400;440;21.46498479;;;;;;;;
JP3397200001;JP;2019;269075;20414.77;1258170;3073560;981.63;55460;17875900;530;20.61128054;;;;;;;;
JP3814800003;JP;2017;364488;28092.77;1309041;2478974;1922.57;102637;28235400;1055;28.15921154;;;;;;;;
JP3830800003;JP;2017;374929;34953.93;2082359;3514459;599.75;109696;28827600;751;29.25774579;;;;;;;;
JP3633400001;JP;2017;2025926;161296.56;16154257;43749606;7891.95;580769;183110900;381;28.66682621;;;;;;;;
JP3854600008;JP;2017;929919;54199.42;6546977;17013482;1516.60;302521;61656900;332;32.53193192;;;;;;;;
JP3551500006;JP;2017;333241;34535.72;2972919;4622419;1001.15;80308;25761900;505;24.09895305;;;;;;;;
JP3397200001;JP;2017;272608;18301.26;1005108;2796361;784.08;90115;15995600;550;33.05657182;;;;;;;;
JP3116000005;JP;2020;117449;20829.10;1468472;4299848;517.53;30735;9282500;245;26.16847024;2019;2018;2017;2016;2015;2014;2013;2012
JP3116000005;JP;2016;138109;14494.01;717069;1795629;479.97;57935;8922000;458;41.94898313;;;;;;;;
JP3942400007;JP;2020;227186;28751.80;1194172;2144569;441.41;45931;19541100;928;20.21740011;2019;2018;2017;2016;2015;2014;2013;2012
JP3942400007;JP;2016;217989;28293.35;1120343;1600906;752.90;56696;19368700;1078;26.00870994;;;;;;;;
JP3778630008;JP;2020;72433;10664.82;416185;574146;331.83;19172;5766600;936;26.46883293;2019;2018;2017;2016;2015;2014;2013;2012
JP3778630008;JP;2016;40379;4796.40;281830;398893;157.41;11603;3458300;777;28.73435212;;;;;;;;
JP3116000005;JP;2018;187706;17823.84;1044907;2806649;933.09;51040;15107700;470;27.19142532;;;;;;;;
JP3258000003;JP;2018;223511;18393.84;834963;2099644;361.44;46758;16420200;698;20.9198224;;;;;;;;
JP3116000005;JP;2019;181075;21003.87;1146827;2890074;492.30;51463;14220600;457;28.42074867;;;;;;;;
JP3258000003;JP;2019;107166;19105.24;834208;2220266;343.34;32460;5964200;253;30.28941219;;;;;;;;
JP3116000005;JP;2017;175669;22733.37;1016542;2970992;697.43;51844;14100300;518;29.51254924;;;;;;;;
JP3258000003;JP;2017;208422;23011.60;850269;2129225;545.31;46325;15701200;651;22.2265961;;;;;;;;
JP3830800003;JP;2020;27013;23078.91;2082385;4057656;671.72;40865;-1979000;-47;151.2811622;2019;2018;2017;2016;2015;2014;2013;2012
JP3830800003;JP;2016;387992;28298.96;1960677;3186033;1184.78;134503;26555100;707;34.66654649;;;;;;;;
JP3242800005;JP;2020;122021;20035.26;2494097;4480230;425.88;32160;8331800;177;26.35630949;2019;2018;2017;2016;2015;2014;2013;2012
JP3242800005;JP;2016;225155;30851.50;2386187;4405649;706.01;76092;15065000;315;33.79548827;;;;;;;;
JP3951600000;JP;2018;82904;19355.56;402366;725045;199.98;21998;6135200;801;26.53422309;;;;;;;;
JP3371200001;JP;2018;307047;44141.05;2211346;2729794;674.81;63383;26623600;958;20.64277067;;;;;;;;
JP3205800000;JP;2018;187655;36168.25;749542;1331619;468.19;47011;15369800;1064;25.05174885;;;;;;;;
JP3351600006;JP;2018;94447;25088.10;409728;920219;392.48;35679;6140400;627;37.7768191;;;;;;;;
JP3951600000;JP;2019;63790;20299.50;435310;795034;274.22;15503;4611700;556;24.30325865;;;;;;;;
JP3371200001;JP;2019;374509;34945.55;2228615;2745374;1096.44;91370;30912600;1041;24.39737931;;;;;;;;
JP3205800000;JP;2019;193233;39938.09;789229;1521895;519.95;55312;14821300;952;28.62446296;;;;;;;;
JP3351600006;JP;2019;98502;28602.78;457972;1121504;474.60;27590;7356200;660;28.0094619;;;;;;;;
JP3951600000;JP;2017;82871;15232.27;344046;653923;177.70;31529;5277100;751;38.04640251;;;;;;;;
JP3371200001;JP;2017;223602;36902.40;1914194;2383233;580.81;58938;17591200;681;26.35865413;;;;;;;;
JP3205800000;JP;2017;182184;33328.44;715829;1267088;493.18;49658;14701000;1063;27.25684077;;;;;;;;
JP3351600006;JP;2017;34383;19315.53;376673;842810;88.27;11772;2274900;241;34.23680456;;;;;;;;
JP3566800003;JP;2020;527415;31502.67;3549473;8895490;1784.22;155544;39788100;421;29.49169567;2019;2018;2017;2016;2015;2014;2013;2012
JP3566800003;JP;2016;423120;34852.87;2060944;4687525;1108.55;147478;33744000;644;34.85488121;;;;;;;;
JP3519400000;JP;2020;279285;87618.99;949201;1196666;625.51;78164;21473300;1872;27.98737709;2019;2018;2017;2016;2015;2014;2013;2012
JP3519400000;JP;2016;68515;15713.37;553443;691289;233.20;18476;5359200;673;26.96647324;;;;;;;;
JP3497400006;JP;2020;36613;7989.05;215795;383066;205.25;10222;2806300;679;27.91901125;2019;2018;2017;2016;2015;2014;2013;2012
JP3497400006;JP;2016;17196;2053.23;113042;265148;25.25;5592;1365200;478;32.51815981;;;;;;;;
JP3476480003;JP;2020;93137;13549.20;3498604;55589827;1322.69;63307;3243300;6;67.97183599;2019;2018;2017;2016;2015;2014;2013;2012
JP3476480003;JP;2016;221263;14373.00;2609446;44419166;989.36;72597;17851500;36;32.81044177;;;;;;;;
JP3475350009;JP;2020;129835;44627.25;1209586;1950460;240.80;11217;12907400;616;8.639596498;2019;2018;2017;2016;2015;2014;2013;2012
JP3475350009;JP;2016;101918;15215.90;1095606;1690931;311.81;34966;8228200;424;34.3081021;;;;;;;;
JP3893600001;JP;2018;491178;29781.74;3737390;10631554;1125.00;93007;41847900;367;18.9355308;;;;;;;;
JP3893600001;JP;2019;526931;26985.41;3851621;10792591;1387.63;137586;41421500;356;26.11074412;;;;;;;;
JP3893600001;JP;2017;425526;25526.15;3349348;10321290;586.04;124337;30613600;273;29.21953771;;;;;;;;
JP3505000004;JP;2020;321619;16469.01;1599830;4286404;1201.56;103312;23360300;521;32.1225224;2019;2018;2017;2016;2015;2014;2013;2012
JP3505000004;JP;2016;130087;18698.51;1041254;2898532;484.22;42925;10357700;330;32.99704252;;;;;;;;
JP3551500006;JP;2020;82438;25057.40;3146807;5235330;731.39;4607;6809900;119;5.588468275;2019;2018;2017;2016;2015;2014;2013;2012
JP3551500006;JP;2016;284936;31910.58;2779108;4486762;539.43;72223;24425100;473;25.34698375;;;;;;;;
JP3783600004;JP;2020;261368;28570.46;2914359;7954653;1003.62;78809;19842900;233;30.15265295;2019;2018;2017;2016;2015;2014;2013;2012
JP3783600004;JP;2016;320492;33862.55;2172809;6930701;832.48;115169;24530900;319;35.93514525;;;;;;;;
JP3160400002;JP;2020;117785;21059.98;628157;983873;177.80;5147;12176700;1141;4.369724276;2019;2018;2017;2016;2015;2014;2013;2012
JP3160400002;JP;2016;42031;17223.36;510396;866575;65.78;-3806;5493300;542;-9.056327145;;;;;;;;
JP3386450005;JP;2020;-124868;11033.34;2140749;7420955;415.13;34004;-18794600;-228;#N/B;2019;2018;2017;2016;2015;2014;2013;2012
JP3386450005;JP;2016;-297768;9596.38;1408494;6075461;504.39;-39790;-27360700;-384;#N/B;;;;;;;;
JP3942400007;JP;2018;196795;29990.70;1192561;1747254;586.66;48212;16467900;897;24.49831051;;;;;;;;
JP3197600004;JP;2018;57674;15923.99;493079;572850;328.15;12203;5028400;820;21.15859954;;;;;;;;
JP3188220002;JP;2018;99144;22189.54;1553570;2257999;267.91;21822;8249200;333;22.01064869;;;;;;;;
JP3475350009;JP;2018;73102;21473.21;1065333;1784442;200.06;19137;6028200;316;26.17839819;;;;;;;;
JP3519400000;JP;2018;109966;31821.58;688935;838124;285.80;25688;9248800;1044;23.3595995;;;;;;;;
JP3546800008;JP;2018;96208;18590.98;517449;1016497;217.61;13921;9129500;868;14.46966145;;;;;;;;
JP3463000004;JP;2018;195976;38077.34;1878160;3861271;269.62;27516;18688600;442;14.04065284;;;;;;;;
JP3201200007;JP;2018;69172;12968.87;416354;920228;173.97;17660;5706400;589;25.53055501;;;;;;;;
JP3160400002;JP;2018;69297;18252.98;558140;986395;119.40;20191;5184500;499;29.13688267;;;;;;;;
JP3942400007;JP;2019;224508;28257.32;1136917;1714458;630.45;24079;22226500;1184;10.72511618;;;;;;;;
JP3197600004;JP;2019;58741;10074.78;503546;591820;166.37;12139;5153900;815;20.66594004;;;;;;;;
JP3188220002;JP;2019;159172;24365.41;1625279;2375256;220.16;38829;12715200;503;24.39443276;;;;;;;;
JP3475350009;JP;2019;77399;29852.48;1129008;1886481;325.95;-6845;9341000;469;-8.844123918;;;;;;;;
JP3519400000;JP;2019;190709;50784.79;785816;974387;319.07;46172;15756000;1593;24.2110124;;;;;;;;
JP3546800008;JP;2019;92619;22686.10;630649;1012594;272.77;21121;7947000;722;22.80423332;;;;;;;;
JP3463000004;JP;2019;115075;63505.99;4681741;12461286;404.97;-6734;13519200;151;-5.852114221;;;;;;;;
JP3201200007;JP;2019;18141;14830.84;398602;842056;191.11;10882;814700;85;59.98906398;;;;;;;;
JP3160400002;JP;2019;80666;16083.06;567484;968081;149.40;20714;6338600;598;25.67911999;;;;;;;;
JP3942400007;JP;2017;260205;27167.72;1141353;1627992;664.93;58242;21870100;1210;22.38322882;;;;;;;;
JP3197600004;JP;2017;68835;10961.40;465862;554125;106.06;17088;5579300;964;24.82425543;;;;;;;;
JP3188220002;JP;2017;92490;23799.98;1591902;2201736;385.34;-9519;11249200;454;-10.29196236;;;;;;;;
JP3475350009;JP;2017;81069;14921.58;1055279;1718549;280.47;37224;5346600;280;45.91629836;;;;;;;;
JP3519400000;JP;2017;86532;28006.19;614225;756745;202.04;20948;7271400;877;24.20875803;;;;;;;;
JP3546800008;JP;2017;69150;12208.55;441013;917403;235.65;18459;5500200;572;26.69435504;;;;;;;;
JP3463000004;JP;2017;132375;36642.00;1699956;3900919;376.32;25703;11494000;281;19.4166562;;;;;;;;
JP3201200007;JP;2017;57699;13145.21;354259;861556;66.15;18166;4278300;436;31.48317088;;;;;;;;
JP3160400002;JP;2017;53255;14802.73;524661;925033;14.25;14242;3935900;393;26.74273427;;;;;;;;
JP3802400006;JP;2020;92750;26040.57;1255245;1401046;272.75;24121;7337100;468;26.00676299;2019;2018;2017;2016;2015;2014;2013;2012
JP3802400006;JP;2016;191000;30279.95;1181977;1346052;1009.97;57484;15970000;1022;30.09622386;;;;;;;;
JP3802300008;JP;2020;141558;60926.24;902034;2274497;691.11;57848;9035800;409;40.86532172;2019;2018;2017;2016;2015;2014;2013;2012
JP3802300008;JP;2016;79707;35823.25;555422;1197002;622.95;31942;4805300;400;40.07447056;;;;;;;;
JP3814000000;JP;2020;159181;20138.30;1809321;3076923;983.47;33216;12498700;371;20.86658077;2019;2018;2017;2016;2015;2014;2013;2012
JP3814000000;JP;2016;161994;17840.33;1827886;2992726;374.99;43699;12331300;356;26.97592647;;;;;;;;
JP3538800008;JP;2018;81033;11384.02;775396;1791451;283.00;23309;6346300;356;28.76485063;;;;;;;;
JP3734800000;JP;2018;147669;45611.51;876823;1667324;311.38;29002;13083400;758;19.64011853;;;;;;;;
JP3538800008;JP;2019;104202;9892.25;792601;1800136;306.16;29762;8220500;422;28.56153833;;;;;;;;
JP3734800000;JP;2019;117075;37300.59;900569;1702135;302.64;23239;10338600;565;19.84980359;;;;;;;;
JP3538800008;JP;2017;195514;7984.46;712209;1493613;207.11;61094;14509900;932;31.247845;;;;;;;;
JP3734800000;JP;2017;130498;28201.13;759734;1506773;230.51;27109;11100700;727;20.77374339;;;;;;;;
JP3788600009;JP;2020;165801;28130.80;2927133;9198352;1739.36;47133;8937200;91;28.42767435;2019;2018;2017;2016;2015;2014;2013;2012
JP3788600009;JP;2016;430564;22621.45;2433452;11166871;1310.56;137575;22923600;184;31.95226675;;;;;;;;
JP3854600008;JP;2020;726523;38864.91;7421851;18953698;2120.21;257516;45574600;223;35.44494492;2019;2018;2017;2016;2015;2014;2013;2012
JP3854600008;JP;2016;529170;49484.82;6015777;16218954;1165.12;190776;34453100;188;36.0519317;;;;;;;;
JP3143600009;JP;2020;645137;30956.85;2775185;10114953;1037.38;130807;50132200;477;20.27586502;2019;2018;2017;2016;2015;2014;2013;2012
JP3173400007;JP;2018;32775;7402.09;185608;208049;84.65;9074;2626800;1247;27.68616655;;;;;;;;
JP3249600002;JP;2018;117287;20758.97;2186921;2941996;287.64;43097;7913700;254;36.74533817;;;;;;;;
JP3571400005;JP;2018;248341;30885.95;725443;1130979;449.07;63918;20437100;1892;25.73807776;;;;;;;;
JP3758190007;JP;2018;106339;11517.25;506100;592442;167.30;13099;10767200;1805;12.31821123;;;;;;;;
JP3814000000;JP;2018;178474;17172.76;1954992;3284381;559.87;49115;14069400;400;27.51924856;;;;;;;;
JP3236200006;JP;2018;269650;73534.13;1298596;1397482;560.04;79637;21059500;1539;29.53356086;;;;;;;;
JP3778630008;JP;2018;65411;7222.02;363476;508218;177.83;16790;5410800;1052;25.66864836;;;;;;;;
JP3866800000;JP;2018;341588;33356.66;1605595;5915512;689.71;114193;23604000;385;33.43009588;;;;;;;;
JP3756600007;JP;2018;181436;52929.88;1240276;1557830;246.02;54266;13959100;893;29.90899597;;;;;;;;
JP3122400009;JP;2018;21909;3752.25;117170;239360;29.98;5575;1810300;745;25.44683305;;;;;;;;
JP3242800005;JP;2018;328579;29534.06;2577225;4465629;1191.71;87059;25275500;501;26.49548626;;;;;;;;
JP3173400007;JP;2019;39664;8968.58;197385;221267;96.00;10606;3222300;1382;26.74093441;;;;;;;;
JP3249600002;JP;2019;126796;21244.06;2047178;2681913;378.28;23224;10321000;339;18.31590925;;;;;;;;
JP3571400005;JP;2019;289922;23700.98;802382;1136222;928.20;66081;24822800;2018;22.79258992;;;;;;;;
JP3758190007;JP;2019;111886;11773.74;570495;661687;188.42;8010;11566400;1690;7.159254887;;;;;;;;
JP3814000000;JP;2019;191860;18614.47;1840324;3085054;459.02;50549;13810600;400;26.34681005;;;;;;;;
JP3236200006;JP;2019;288436;74597.96;1434981;1514128;929.03;84506;22614700;1430;29.29813043;;;;;;;;
JP3778630008;JP;2019;78307;10305.94;387615;553783;191.05;21827;6338300;1099;27.87374191;;;;;;;;
JP3866800000;JP;2019;375542;20107.22;1728792;5433375;1000.50;102547;28414900;462;27.3063661;;;;;;;;
JP3756600007;JP;2019;245072;33966.45;1273625;1549568;622.21;69619;19401000;1151;28.40763581;;;;;;;;
JP3122400009;JP;2019;59706;4598.88;179546;275177;42.78;8312;5699300;2039;13.92215795;;;;;;;;
JP3242800005;JP;2019;179334;44071.11;2471126;4390999;712.35;51505;12496400;258;28.72020993;;;;;;;;
JP3173400007;JP;2017;29962;4230.80;159293;179540;82.38;8390;2335900;1224;28.00123286;;;;;;;;
JP3249600002;JP;2017;127299;20466.23;2094785;2791412;309.86;26265;10384300;335;20.63272131;;;;;;;;
JP3571400005;JP;2017;137704;17897.71;579480;859236;301.25;31275;11520900;1316;22.71184849;;;;;;;;
JP3758190007;JP;2017;62421;12816.73;412967;482229;135.57;12020;5675000;1152;19.25566112;;;;;;;;
JP3814000000;JP;2017;179868;17081.25;1833940;3170770;274.65;40745;13150600;381;22.65280452;;;;;;;;
JP3236200006;JP;2017;204436;48939.32;1063046;1122311;#N/B;63002;15315500;1302;30.81728619;;;;;;;;
JP3778630008;JP;2017;56202;6564.53;312489;437972;96.61;15387;4416000;943;27.37758791;;;;;;;;
JP3866800000;JP;2017;254015;26331.91;1410652;5369255;966.22;94770;14936000;260;37.30886405;;;;;;;;
JP3756600007;JP;2017;105949;27851.55;1122534;1318297;154.03;11217;10257400;742;10.58746623;;;;;;;;
JP3122400009;JP;2017;13872;3300.80;98283;207846;26.37;758;1420100;643;5.465317534;;;;;;;;
JP3242800005;JP;2017;315591;40257.21;2548273;4614550;637.39;87417;24192300;468;27.69947214;;;;;;;;
JP3143600009;JP;2016;268769;19480.25;1951757;7150136;608.56;38624;24037600;290;14.37060998;;;;;;;;
JP3752900005;JP;2020;689380;31674.74;10128435;265016390;2037.35;166841;48373300;17;24.20157058;2019;2018;2017;2016;2015;2014;2013;2012
JP3752900005;JP;2016;558727;55013.78;12187152;259750945;3184.21;197037;42597200;14;35.26529079;;;;;;;;
JP3726800000;JP;2020;393433;36122.46;2443541;5212245;1166.18;101185;31025400;567;25.71852317;2019;2018;2017;2016;2015;2014;2013;2012
JP3726800000;JP;2016;526186;59025.45;2105792;4067710;1705.20;140314;42169500;907;26.66629354;;;;;;;;
JP3205800000;JP;2020;160567;37126.63;894655;1613266;504.66;42994;12614200;760;26.77632922;2019;2018;2017;2016;2015;2014;2013;2012
JP3205800000;JP;2016;168813;23414.50;582880;1147433;448.27;51115;12655100;966;30.27912555;;;;;;;;
JP3496400007;JP;2020;938783;67960.80;4061344;8874206;2795.82;299191;63976700;757;31.87012038;2019;2018;2017;2016;2015;2014;2013;2012
JP3496400007;JP;2016;681530;66580.77;2943763;5232104;2429.84;209432;49487800;860;30.7297076;;;;;;;;
JP3236200006;JP;2020;257761;70923.80;1628533;1700725;841.39;75538;19812400;1128;29.30530628;2019;2018;2017;2016;2015;2014;2013;2012
JP3236200006;JP;2016;171146;31609.91;928015;980487;676.27;56922;13716600;1307;33.25905021;;;;;;;;
JP3240400006;JP;2020;34587;8189.02;252196;369319;92.56;9726;2682700;705;28.12126047;2019;2018;2017;2016;2015;2014;2013;2012
